Scopus Author Ids,Oldest publication (since 1996),Most recent publication,h-index,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted Citation Impact,Scopus Author ID First Author,Frecuencia
16246924700,2019.0,2022.0,32.0,1.6181250000000003,16.40625,9.765625,7.59375,2.1190937500000007,9.625,8.320624999999998,13186420615.1875,32.0
26327166500,2019.0,2022.0,64.0,1.5786250000000002,16.75,9.629999999999992,9.075,2.0923624999999997,9.5875,2.3520000000000003,26056809095.3875,88.0
37100798100,2021.0,2022.0,30.0,1.6140000000000005,15.814285714285715,9.804285714285706,9.014285714285714,2.133657142857144,8.957142857142857,2.5842857142857145,24347003739.228573,70.0
56442679600,2022.0,2022.0,30.0,1.6121917808219182,16.136986301369863,9.798630136986295,9.178082191780822,2.13141095890411,9.191780821917808,2.5034246575342465,25697500825.684933,73.0
57199227272,2019.0,2022.0,28.0,1.6775409836065578,15.344262295081966,10.011475409836063,9.065573770491802,2.2015737704918026,9.19672131147541,2.6877049180327868,26876854880.114754,61.0
57210754286,2022.0,2022.0,22.0,1.6140000000000014,16.44,10.066,9.16,2.15386,9.32,2.6889999999999996,27205220208.76,50.0
57214420467,2020.0,2022.0,76.0,1.6853333333333331,12.533333333333333,9.484444444444438,6.888888888888889,2.188288888888888,8.222222222222221,2.5180000000000002,37139896976.2,45.0
